id,latitude,longitude,std_bright,mean_std
1106213677,53.9141236,13.30415,12.657900106423929,0.31999999999999995
2066410290,53.4575453,14.1610668,10.940034920572879,0.5036476355247982
2066410296,53.4590381,14.1636456,17.95541405837725,0.3444341736694678
2066410309,53.4596637,14.1601355,17.745337008089717,0.4867787114845938
2066410314,53.4613225,14.1624313,12.229099430455602,0.4982324106113034
2661408297,53.4235883,14.0517923,16.38041486167192,0.3289936562860438
2661408359,53.4291792,14.0546312,7.103164639613048,0.2825519031141869
2661408378,53.4314918,14.0495789,11.279013042203767,0.22777393310265281
2661589407,53.3220464,14.2608232,11.127431551870599,0.7277226890756302
2661589408,53.3235086,14.2667728,7.915841079348164,0.7382583621683968
2661589410,53.3264749,14.2663695,7.523684638491043,0.5439712536598349
2661589411,53.3265474,14.2621895,8.314937247402083,0.48964985994397764
2661676312,53.3265066,14.3884696,11.000035550704522,0.24335928489042677
2663033372,53.4321245,14.0216379,12.350280337279305,0.30085063437139564
5530045359,53.3297816,14.392877,7.040310476074515,0.25392997198879547
7472118681,53.4641754,14.1501978,12.141492790265508,0.28822408963585433
