datum,row,last-city,last-id
12-May-2022-12-36,0,Tokyo,47472313
12-May-2022-13-07,50,Tongshan,90493152
12-May-2022-13-10,100,Xinyang,82048937
12-May-2022-13-14,150,Pingdingshan,41066288
12-May-2022-13-17,200,Deyang,55974084
12-May-2022-13-20,250,Addis Ababa,34748229
12-May-2022-13-24,300,Sanming,32825205
12-May-2022-13-27,350,Gaoping,40116428
12-May-2022-13-30,400,Curitiba,10279558
12-May-2022-13-34,450,Ludhiana,83832655
12-May-2022-13-37,500,Guyuan,14230132
12-May-2022-13-41,550,Shaoyang,86777050
12-May-2022-13-44,600,Leiyang,74885138
12-May-2022-13-47,650,Edmonton,21479935
12-May-2022-13-51,700,Quetta,85552380
12-May-2022-13-54,750,Maseru,70762916
12-May-2022-13-58,800,Oranjestad,55226011
12-May-2022-14-01,850,Adamstown,25328660
12-May-2022-14-04,900,Owerri,87347725
12-May-2022-14-07,950,Ilorin,66175810
12-May-2022-14-11,1000,Krakow,79345669
12-May-2022-14-15,1050,Dayton,8560038
12-May-2022-14-18,1100,Tasikmalaya,91195476
12-May-2022-14-23,1150,Izhevsk,72948935
12-May-2022-14-27,1200,Xinji,75259992
12-May-2022-14-31,1250,Botou,96948586
12-May-2022-14-36,1300,Chiclayo,76922027
12-May-2022-14-40,1350,Bac Ninh,20170837
12-May-2022-14-45,1400,Ichikawa,92135076
12-May-2022-14-50,1450,Gaoping,40116428
12-May-2022-14-55,1500,Kanazawa,13970216
12-May-2022-15-00,1550,Little Rock,31541411
12-May-2022-15-06,1600,Tver,2525380
12-May-2022-15-10,1650,Campina Grande,76786992
12-May-2022-15-15,1700,Esenyurt,78737342
12-May-2022-15-20,1750,Anguo,29952512
12-May-2022-15-25,1800,San Fernando,75077336
12-May-2022-15-30,1850,Kusti,89025966
12-May-2022-15-35,1900,Maebashi,4836902
12-May-2022-15-40,1950,Mekele,16816361
12-May-2022-15-44,2000,Barddhaman,37297833
12-May-2022-15-49,2050,Vila Nova de Gaia,17821441
12-May-2022-15-54,2100,Rangpur,19212993
12-May-2022-15-58,2150,Plano,13436578
12-May-2022-16-03,2200,Round Lake Beach,80522218
12-May-2022-16-08,2250,Gombe,18198901
12-May-2022-16-13,2300,Nawabshah,87611527
12-May-2022-16-17,2350,Wilmington,12840140
12-May-2022-16-22,2400,Gdynia,15228696
12-May-2022-16-26,2450,Sao Carlos,83565811
12-May-2022-16-30,2500,Bole,38002819
12-May-2022-16-34,2550,Singkawang,84811861
12-May-2022-16-38,2600,Ashdod,97071165
12-May-2022-16-43,2650,Tilburg,99122407
12-May-2022-16-47,2700,Warnes,43616197
12-May-2022-16-52,2750,Huangyan,54846169
12-May-2022-16-56,2800,Parnamirim,56412358
12-May-2022-17-00,2850,Bulandshahr,7064575
12-May-2022-17-05,2900,Kenema,84845455
12-May-2022-17-09,2950,Valera,5522091
12-May-2022-17-14,3002,Cedar Rapids,90377988
